from,to,weight,id,periodo_base,categoria,periodo
Ocupado_t0,Ocupado_t1,88.6,Ocupado_tant - Ocupado_tpost,t_posterior,Ocupado,2016_t2-t3
Inactivo_t0,Ocupado_t1,7.4,Inactivo_tant - Ocupado_tpost,t_posterior,Ocupado,2016_t2-t3
Desocupado_t0,Ocupado_t1,3.9,Desocupado_tant - Ocupado_tpost,t_posterior,Ocupado,2016_t2-t3
Trab_familiar_tpost,Ocupado_t1,0,Trab_familiar_tpost - Ocupado_tpost,t_posterior,Ocupado,2016_t2-t3
from,to,weight,id,periodo_base,categoria,periodo
Ocupado_t0,Ocupado_t1,89.7,Ocupado_tant - Ocupado_tpost,t_posterior,Ocupado,2016_t3-t4
Inactivo_t0,Ocupado_t1,6.8,Inactivo_tant - Ocupado_tpost,t_posterior,Ocupado,2016_t3-t4
Desocupado_t0,Ocupado_t1,3.4,Desocupado_tant - Ocupado_tpost,t_posterior,Ocupado,2016_t3-t4
Trab_familiar_tpost,Ocupado_t1,0,Trab_familiar_tpost - Ocupado_tpost,t_posterior,Ocupado,2016_t3-t4
from,to,weight,id,periodo_base,categoria,periodo
Inactivo_t0,Ocupado_t1,7.6,Inactivo_tant - Ocupado_tpost,t_posterior,Ocupado,2017_t1-t2
Ocupado_t0,Ocupado_t1,88.3,Ocupado_tant - Ocupado_tpost,t_posterior,Ocupado,2017_t1-t2
Desocupado_t0,Ocupado_t1,4.1,Desocupado_tant - Ocupado_tpost,t_posterior,Ocupado,2017_t1-t2
from,to,weight,id,periodo_base,categoria,periodo
Ocupado_t0,Ocupado_t1,88.1,Ocupado_tant - Ocupado_tpost,t_posterior,Ocupado,2017_t2-t3
Inactivo_t0,Ocupado_t1,8,Inactivo_tant - Ocupado_tpost,t_posterior,Ocupado,2017_t2-t3
Desocupado_t0,Ocupado_t1,3.9,Desocupado_tant - Ocupado_tpost,t_posterior,Ocupado,2017_t2-t3
Trab_familiar_tpost,Ocupado_t1,0,Trab_familiar_tpost - Ocupado_tpost,t_posterior,Ocupado,2017_t2-t3
from,to,weight,id,periodo_base,categoria,periodo
Ocupado_t0,Ocupado_t1,89.3,Ocupado_tant - Ocupado_tpost,t_posterior,Ocupado,2017_t3-t4
Desocupado_t0,Ocupado_t1,3.7,Desocupado_tant - Ocupado_tpost,t_posterior,Ocupado,2017_t3-t4
Inactivo_t0,Ocupado_t1,7.1,Inactivo_tant - Ocupado_tpost,t_posterior,Ocupado,2017_t3-t4
from,to,weight,id,periodo_base,categoria,periodo
Ocupado_t0,Ocupado_t1,89.1,Ocupado_tant - Ocupado_tpost,t_posterior,Ocupado,2018_t1-t2
Desocupado_t0,Ocupado_t1,3.7,Desocupado_tant - Ocupado_tpost,t_posterior,Ocupado,2018_t1-t2
Inactivo_t0,Ocupado_t1,7.2,Inactivo_tant - Ocupado_tpost,t_posterior,Ocupado,2018_t1-t2
Trab_familiar_tpost,Ocupado_t1,0,Trab_familiar_tpost - Ocupado_tpost,t_posterior,Ocupado,2018_t1-t2
from,to,weight,id,periodo_base,categoria,periodo
Ocupado_t0,Ocupado_t1,88.9,Ocupado_tant - Ocupado_tpost,t_posterior,Ocupado,2018_t2-t3
Inactivo_t0,Ocupado_t1,7.1,Inactivo_tant - Ocupado_tpost,t_posterior,Ocupado,2018_t2-t3
Desocupado_t0,Ocupado_t1,4.1,Desocupado_tant - Ocupado_tpost,t_posterior,Ocupado,2018_t2-t3
Trab_familiar_tpost,Ocupado_t1,0,Trab_familiar_tpost - Ocupado_tpost,t_posterior,Ocupado,2018_t2-t3
