from,to,weight,id,periodo_base,categoria,periodo
Desocupado_t0,Inactivo_t1,30,Desocupado_tant - Inactivo_tpost,t_anterior,Desocupado,2016_t2-t3
Desocupado_t0,Desocupado_t1,33.3,Desocupado_tant - Desocupado_tpost,t_anterior,Desocupado,2016_t2-t3
Desocupado_t0,Ocupado_t1,36.3,Desocupado_tant - Ocupado_tpost,t_anterior,Desocupado,2016_t2-t3
Desocupado_t0,Trab_familiar_t1,0.3,Desocupado_tant - Trab_familiar_tpost,t_anterior,Desocupado,2016_t2-t3
from,to,weight,id,periodo_base,categoria,periodo
Desocupado_t0,Desocupado_t1,31.6,Desocupado_tant - Desocupado_tpost,t_anterior,Desocupado,2016_t3-t4
Desocupado_t0,Inactivo_t1,29.8,Desocupado_tant - Inactivo_tpost,t_anterior,Desocupado,2016_t3-t4
Desocupado_t0,Ocupado_t1,38.7,Desocupado_tant - Ocupado_tpost,t_anterior,Desocupado,2016_t3-t4
from,to,weight,id,periodo_base,categoria,periodo
Desocupado_t0,Ocupado_t1,41,Desocupado_tant - Ocupado_tpost,t_anterior,Desocupado,2017_t1-t2
Desocupado_t0,Inactivo_t1,31.6,Desocupado_tant - Inactivo_tpost,t_anterior,Desocupado,2017_t1-t2
Desocupado_t0,Desocupado_t1,27.4,Desocupado_tant - Desocupado_tpost,t_anterior,Desocupado,2017_t1-t2
from,to,weight,id,periodo_base,categoria,periodo
Desocupado_t0,Ocupado_t1,39.9,Desocupado_tant - Ocupado_tpost,t_anterior,Desocupado,2017_t2-t3
Desocupado_t0,Inactivo_t1,31,Desocupado_tant - Inactivo_tpost,t_anterior,Desocupado,2017_t2-t3
Desocupado_t0,Desocupado_t1,29,Desocupado_tant - Desocupado_tpost,t_anterior,Desocupado,2017_t2-t3
from,to,weight,id,periodo_base,categoria,periodo
Desocupado_t0,Ocupado_t1,40,Desocupado_tant - Ocupado_tpost,t_anterior,Desocupado,2017_t3-t4
Desocupado_t0,Inactivo_t1,33.8,Desocupado_tant - Inactivo_tpost,t_anterior,Desocupado,2017_t3-t4
Desocupado_t0,Desocupado_t1,26.1,Desocupado_tant - Desocupado_tpost,t_anterior,Desocupado,2017_t3-t4
Desocupado_t0,Trab_familiar_t1,0.1,Desocupado_tant - Trab_familiar_tpost,t_anterior,Desocupado,2017_t3-t4
from,to,weight,id,periodo_base,categoria,periodo
Desocupado_t0,Desocupado_t1,34.7,Desocupado_tant - Desocupado_tpost,t_anterior,Desocupado,2018_t1-t2
Desocupado_t0,Ocupado_t1,36.2,Desocupado_tant - Ocupado_tpost,t_anterior,Desocupado,2018_t1-t2
Desocupado_t0,Inactivo_t1,29,Desocupado_tant - Inactivo_tpost,t_anterior,Desocupado,2018_t1-t2
